E번호,단어(Word),출현횟수(Count),절수(Verses),뜻(Meaning),구절주소(References)
E00033,abiah,4,4,,"1Sa 8:2; 1Ch 2:24; 1Ch 6:28; 1Ch 7:8"
E00034,abialbon,1,1,,"2Sa 23:31"
E00035,abiasaph,1,1,,"Exo 6:24"
E00036,abiathar,31,29,,"1Sa 22:20; 1Sa 22:21; 1Sa 22:22; 1Sa 23:6; 1Sa 23:9; 1Sa 30:7; 2Sa 8:17; 2Sa 15:24; 2Sa 15:27; 2Sa 15:29; 2Sa 15:35; 2Sa 15:36; 2Sa 17:15; 2Sa 19:11; 2Sa 20:25; 1Ki 1:7; 1Ki 1:19; 1Ki 1:25; 1Ki 1:42; 1Ki 2:22; 1Ki 2:26; 1Ki 2:27; 1Ki 2:35; 1Ki 4:4; 1Ch 15:11; 1Ch 18:16; 1Ch 24:6; 1Ch 27:34; Mar 2:26"
E00037,abib,6,4,,"Exo 13:4; Exo 23:15; Exo 34:18; Deu 16:1"
E00038,abida,2,2,,"Gen 25:4; 1Ch 1:33"
E00039,abidan,5,5,,"Num 1:11; Num 2:22; Num 7:60; Num 7:65; Num 10:24"
E00040,abide,82,77,,"Gen 19:2; Gen 22:5; Gen 24:55; Gen 29:19; Gen 44:33; Exo 16:29; Lev 8:35; Lev 19:13; Num 22:5; Num 31:19; Num 31:23; Num 35:25; Deu 3:19; Jos 18:5; Rut 2:8; 1Sa 1:22; 1Sa 5:7; 1Sa 19:2; 1Sa 22:5; 1Sa 22:23; 1Sa 30:21; 2Sa 11:11; 2Sa 15:19; 2Sa 16:18; 1Ki 8:13; 2Ch 25:19; 2Ch 32:10; Job 24:13; Job 38:40; Job 39:9; Psa 15:1; Psa 61:4; Psa 61:7; Psa 91:1; Pro 7:11; Pro 19:23; Ecc 8:15; Jer 10:10; Jer 42:10; Jer 49:18; Jer 49:33; Jer 50:40; Hos 3:3; Hos 3:4; Hos 11:6; Joe 2:11; Mic 5:4; Nah 1:6; Mal 3:2; Mat 10:11; Mar 6:10; Luk 9:4; Luk 19:5; Luk 24:29; Joh 12:46; Joh 14:16; Joh 15:4; Joh 15:6; Joh 15:7; Joh 15:10; Act 15:34; Act 16:15; Act 20:23; Act 27:31; Rom 11:23; 1Co 3:14; 1Co 7:8; 1Co 7:20; 1Co 7:24; 1Co 7:40; 1Co 16:6; Phi 1:24; Phi 1:25; 1Ti 1:3; 1Jo 2:24; 1Jo 2:27; 1Jo 2:28"
E00041,abideth,30,28,,"Num 31:23; 2Sa 16:3; Job 39:28; Psa 49:12; Psa 55:19; Psa 119:90; Psa 125:1; Pro 15:31; Ecc 1:4; Jer 21:9; Joh 3:36; Joh 8:35; Joh 12:24; Joh 12:34; Joh 15:5; 1Co 13:13; 2Ti 2:13; Heb 7:3; 1Pe 1:23; 1Jo 2:6; 1Jo 2:10; 1Jo 2:14; 1Jo 2:17; 1Jo 2:27; 1Jo 3:6; 1Jo 3:14; 1Jo 3:24; 2Jo 1:9"
E00042,abiding,9,9,,"Num 24:2; Jdg 16:9; Jdg 16:12; 1Sa 26:19; 1Ch 29:15; Luk 2:8; Joh 5:38; Act 16:12; 1Jo 3:15"
E00043,abiel,3,3,,"1Sa 9:1; 1Sa 14:51; 1Ch 11:32"
E00044,abiezer,7,7,,"Jos 17:2; Jdg 6:34; Jdg 8:2; 2Sa 23:27; 1Ch 7:18; 1Ch 11:28; 1Ch 27:12"
E00045,abiezrite,1,1,,"Jdg 6:11"
E00046,abiezrites,2,2,,"Jdg 6:24; Jdg 8:32"
